9 9
B 12 15
A 12 5
A 10 3
C 4 1
B 6 13
C 3 4
M 7 10
B 0 13
B 6 15
B 14 7
D 13 14
M 9 10
A 6 9
D 16 5
A 15 12
C 5 14
D 9 16
C 12 7
B 0 3
C 2 11
D 15 2
M 8 5
C 8 9
M 8 3
A 10 13
B 7 16
A 1 0
D 7 2
A 6 5
B 14 3
A 7 12
C 13 8
A 7 8
M 5 2
C 15 0
A 16 1
A 4 13
C 12 3
M 3 6
A 13 2
D 4 7
D 13 0
M 11 8
B 12 1
M 1 14
A 2 1
D 4 3
C 15 16
B 14 1
M 0 11
A 16 7
D 3 0
B 3 16
C 14 11
C 15 8
B 0 1
A 8 13
B 9 12
M 14 13
M 1 12
M 1 4
C 16 15
B 15 14
A 7 6
C 11 12
B 10 15
D 11 4
A 3 8
D 3 2
M 3 14
B 16 13
M 0 5
M 1 16
D 4 15
A 3 10
M 0 9
D 16 11
A 14 9
B 5 6
A 1 2
D 13 12
D 9 0
A 10 7
A 13 16
M 6 11
M 10 1
B 15 10
B 13 10
A 2 5
B 4 11
B 2 9
D 5 12
C 15 6
B 10 5
A 6 1
C 5 4
D 5 0
D 7 4
B 15 4
M 9 4
M 14 15
D 4 9
D 13 6
A 7 0
D 3 12
D 7 14
C 13 4
B 9 14
D 16 9
D 1 6
M 4 5
A 10 11
A 10 9
M 2 13
B 14 5
C 5 16
M 5 10
C 11 14
M 12 9
B 11 10
D 1 8
D 1 10
D 12 13
C 11 6
A 12 11
B 2 15
A 9 6
A 8 1
B 8 15
B 6 3
A 9 8
B 2 7
D 16 3
C 8 7
M 2 3
B 0 7
M 9 2
A 11 2
B 8 11
B 11 0
A 6 7
M 5 8
D 0 15
B 11 16
END
