6 7
C 1 2
D 1 4
D 8 11
A 7 0
B 1 10
D 2 5
D 0 1
C 1 8
C 8 5
A 0 11
A 9 4
B 10 5
C 7 10
D 3 2
D 5 8
C 3 0
C 1 12
D 2 3
A 1 6
C 5 0
B 0 9
D 8 7
B 7 8
A 6 3
C 4 5
C 3 6
A 0 5
B 9 6
C 5 10
B 10 9
B 0 7
D 2 11
B 8 1
B 3 12
B 2 7
D 0 3
B 4 1
D 3 10
A 5 12
C 8 3
A 6 5
C 6 1
A 2 9
D 6 11
D 10 1
A 10 11
A 4 3
A 9 0
C 4 7
D 7 6
C 9 8
C 7 2
B 10 7
C 8 9
A 5 6
A 7 12
A 4 9
B 3 4
B 4 11
D 1 0
B 3 8
B 6 7
D 9 2
D 6 9
D 10 3
A 7 4
B 5 4
B 9 10
D 5 2
A 9 12
D 2 1
END
